                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2681,                0.63017,                 0.9239,                 2.3839,             0.00023727,             0.00023727,             0.00023727
                      2,                 1.0954,                 0.8251,                0.98932,                 2.0861,             0.00042822,             0.00042822,             0.00042822
                      3,                0.64275,                0.90654,                0.99866,                 1.9848,             0.00057205,             0.00057205,             0.00057205
                      4,                0.48099,                0.91322,                      1,                 1.9484,             0.00050194,             0.00050194,             0.00050194
                      5,                0.37996,                0.93591,                      1,                 1.9082,             0.00043126,             0.00043126,             0.00043126
                      6,                0.31329,                0.96262,                      1,                 1.8878,             0.00036057,             0.00036057,             0.00036057
                      7,                0.28077,                0.96929,                      1,                 1.8743,             0.00028988,             0.00028988,             0.00028988
                      8,                0.25059,                0.96529,                      1,                 1.8668,              0.0002192,              0.0002192,              0.0002192
                      9,                0.22071,                0.96929,                      1,                 1.8636,             0.00014851,             0.00014851,             0.00014851
                     10,                0.19645,                0.96529,                      1,                 1.8617,             7.7826e-05,             7.7826e-05,             7.7826e-05
