                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2535,                0.61282,                0.94526,                 2.4012,             0.00023727,             0.00023727,             0.00023727
                      2,                 1.0732,                0.79706,                0.98932,                 2.1224,             0.00042822,             0.00042822,             0.00042822
                      3,                0.65887,                0.85581,                      1,                  2.007,             0.00057205,             0.00057205,             0.00057205
                      4,                0.49619,                 0.9239,                      1,                 1.9357,             0.00050194,             0.00050194,             0.00050194
                      5,                0.39643,                0.95327,                      1,                 1.8977,             0.00043126,             0.00043126,             0.00043126
                      6,                0.31431,                0.96796,                      1,                 1.8858,             0.00036057,             0.00036057,             0.00036057
                      7,                 0.2779,                0.97463,                      1,                 1.8712,             0.00028988,             0.00028988,             0.00028988
                      8,                0.24957,                0.97597,                      1,                 1.8656,              0.0002192,              0.0002192,              0.0002192
                      9,                0.21036,                 0.9733,                      1,                 1.8648,             0.00014851,             0.00014851,             0.00014851
                     10,                0.19156,                0.97864,                      1,                 1.8599,             7.7826e-05,             7.7826e-05,             7.7826e-05
