                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4112,                0.43376,                0.90152,                  2.537,             0.00023736,             0.00023736,             0.00023736
                      2,                 1.5264,                0.66002,                0.98007,                 2.3274,              0.0004283,              0.0004283,              0.0004283
                      3,                  1.084,                0.72333,                0.99297,                 2.1915,             0.00057212,             0.00057212,             0.00057212
                      4,                0.81552,                0.84994,                      1,                 2.0573,             0.00050194,             0.00050194,             0.00050194
                      5,                0.68584,                0.83118,                      1,                 2.0567,             0.00043126,             0.00043126,             0.00043126
                      6,                 0.5895,                0.90973,                      1,                 1.9712,             0.00036057,             0.00036057,             0.00036057
                      7,                0.50727,                 0.9109,                      1,                  1.962,             0.00028988,             0.00028988,             0.00028988
                      8,                0.45053,                0.93083,                      1,                 1.9427,              0.0002192,              0.0002192,              0.0002192
                      9,                 0.4077,                0.93083,                      1,                 1.9357,             0.00014851,             0.00014851,             0.00014851
                     10,                0.39439,                0.93435,                      1,                 1.9267,             7.7826e-05,             7.7826e-05,             7.7826e-05
