                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2486,                0.63551,                 0.9279,                 2.3794,             0.00023727,             0.00023727,             0.00023727
                      2,                 1.0886,                0.83044,                0.98798,                 2.0844,             0.00042822,             0.00042822,             0.00042822
                      3,                0.63911,                0.89853,                0.99866,                 1.9948,             0.00057205,             0.00057205,             0.00057205
                      4,                0.48053,                 0.9239,                      1,                  1.944,             0.00050194,             0.00050194,             0.00050194
                      5,                0.37445,                0.94393,                      1,                 1.9027,             0.00043126,             0.00043126,             0.00043126
                      6,                 0.3097,                0.95594,                      1,                 1.8881,             0.00036057,             0.00036057,             0.00036057
                      7,                0.28098,                0.97196,                      1,                 1.8772,             0.00028988,             0.00028988,             0.00028988
                      8,                0.25169,                0.96929,                      1,                 1.8662,              0.0002192,              0.0002192,              0.0002192
                      9,                0.21856,                 0.9733,                      1,                 1.8632,             0.00014851,             0.00014851,             0.00014851
                     10,                 0.1952,                0.96929,                      1,                 1.8606,             7.7826e-05,             7.7826e-05,             7.7826e-05
